Ring No,Group,Species,Gender,Cage No,Aviary,Bird status
CKRF282,Parrot,Red Belly,,,Sales ,
CKRF283,Parrot,Red Belly,,,Sales ,
CKRF354,Parrot,Red Belly,,,Sales ,
CKRF776,Lorikeet,Red Collard Lory,Female,,Sales ,
CKRF362,Lorikeet,Red Collard Lory,Male,,Sales ,
CKRF355,Lorikeet,Red Collard Lory,Female,,Sales ,
CKRF370,Lorikeet,Red Collard Lory,Female,,Sales ,
CKRF779,Lorikeet,Red Collard Lory,Male,,Sales ,
ACEIND2573,Lorikeet,Red Collard Lory,,,Sales ,
CKRF 1023,Conure,Redmask Conure,Male,,Sales ,
CKRF 1042,Conure,Redmask Conure,Male,,Sales ,
CKR E 2133,Conure,Sun & Janday Conure,Male,,Sales ,
GB 3218,Conure,Sun Conure,Male,,Sales ,
GB 2869,Conure,Sun Conure,Male,,Sales ,
CKRF777,Lorikeet,Swainson Lorikeet,Male,,Sales ,
CKRF405,Lorikeet,Swainson Lorikeet,Female,,Sales ,
CKRF765,Lorikeet,Swainson Lory,Female,,Sales ,
CKRF579,Lorikeet,Swainson Lory,Female,,Sales ,
CKRF358,Lorikeet,Swainson Lory,Male,,Sales ,
ACEIND2576,Lorikeet,Swainson Lory,,,Sales ,
CKRD 719 no ring,Pionus,White Headed pionus,Female,,Sales ,
89PINZ14,Cockatoo,Major Mitchell's Cockatoo,Male,S01,Solai,
CKR A 069,Cockatoo,Triton Cockatoo,Male,S02,Solai,
GF CL 618,Cockatoo,Mollucan Cockatoo,Female,S03,Solai,
SSG-176,Cockatoo,Mollucan Cockatoo,MALE,S03,Solai,
PAB W 031,Cockatoo,Mollucan Cockatoo,Female,S04,Solai,
SSG-194,Cockatoo,Mollucan Cockatoo,MALE,S04,Solai,
P3 SG27,Parrot,Gray parrots,,S05,Solai,
SV 002,Parrot,Gray parrots,Female,S05,Solai,
CKR 0005,Parrot,Gray parrots,Female,S05,Solai,
93PINZ14,Cockatoo,Major Mitchell's Cockatoo,Male,S06,Solai,
,Macaw,Blue and Gold Macaw,,S07,Solai,
CKR A 037,Cockatoo,Medium Sulphur Cockatoo,Male,S08,Solai,
CKR 0056,Macaw,Blue and Gold Macaw,Male,S09,Solai,
JFS207,Macaw,Blue and Gold Macaw,Female,S09,Solai,
GF01,Macaw,GREEN WING MACAW,Male,S10,Solai,
M01,Macaw,GREEN WING MACAW,Female,S10,Solai,
NB125NT2,Macaw,Blue and Gold Macaw,Male,S11,Solai,
JFS218,Macaw,Blue and Gold Macaw,Female,S11,Solai,
JFS221,Macaw,Blue and Gold Macaw,Female,S12,Solai,
JP416,Macaw,Blue and Gold Macaw,Male,S12,Solai,
 LA 414,Macaw,Scarlet Macaw,Female,S14,Solai,
LFC 3,Macaw,Scarlet Macaw,Male,S14,Solai,
,Macaw,GREEN WING MACAW,,T01,Thenral,
,Macaw,GREEN WING MACAW,,T01,Thenral,
No ring(GFO 039),Macaw,Scarlet Macaw,Male,T02,Thenral,
13(VJ013),Macaw,Scarlet Macaw,Female,T02,Thenral,
CY 435,Macaw,Scarlet Macaw,Female,T03,Thenral,
LH M 22,Macaw,Scarlet Macaw,,T03,Thenral,
FF A 401(EFA401),Macaw,Scarlet Macaw,,T04,Thenral,
019(SAT 8019),Macaw,Scarlet Macaw,,T04,Thenral,
OO32,Macaw,Scarlet Macaw,Male,T05,Thenral,
OO38,Macaw,Scarlet Macaw,Female,T05,Thenral,
022,Macaw,Blue and Gold Macaw,Male,T06,Thenral,
CKR 0083,Macaw,Blue and Gold Macaw,Female,T06,Thenral,
JP404,Macaw,Blue and Gold Macaw,Female,T07,Thenral,
JFS210,Macaw,Blue and Gold Macaw,Male,T07,Thenral,
CKR 24,Macaw,Blue and Gold Macaw,Female,T08,Thenral,
CKR 20,Macaw,Blue and Gold Macaw,Male,T08,Thenral,
,Macaw,Blue and Gold Macaw,,T09,Thenral,
,Macaw,Blue and Gold Macaw,,T09,Thenral,
JFS201,Macaw,Blue and Gold Macaw,Male,T10,Thenral,
CKR 23,Macaw,Blue and Gold Macaw,Female,T10,Thenral,
JFS208,Macaw,Blue and Gold Macaw,Male,T11,Thenral,
JFS223,Macaw,Blue and Gold Macaw,Female,T11,Thenral,
,Cockatoo,Mollucan Cockatoo,Male,V01,Vasantham,
PABW 052,Cockatoo,Mollucan Cockatoo,Female,V01,Vasantham,
PABW 001,Cockatoo,Mollucan Cockatoo,Male,V02,Vasantham,
PABW 036,Cockatoo,Mollucan Cockatoo,Female,V02,Vasantham,
167,Cockatoo,Goffin Cockatoo,Male,V03,Vasantham,
175,Cockatoo,Goffin Cockatoo,Female,V03,Vasantham,
141,Cockatoo,Goffin Cockatoo,Male,V04,Vasantham,
157,Cockatoo,Goffin Cockatoo,Female,V04,Vasantham,
CKR 0002,Cockatoo,Medium Sulphur Cockatoo,Female,V05,Vasantham,
CKR 03,Cockatoo,Medium Sulphur Cockatoo,Male,V05,Vasantham,
CKR A023,Cockatoo,Triton Cockatoo,Female,V06,Vasantham,
CKR A 044,Cockatoo,Triton Cockatoo,Male,V06,Vasantham,
No Ring,Cockatoo,Triton Cockatoo,Male,V07,Vasantham,
CKR A 042,Cockatoo,Triton Cockatoo,Female,V07,Vasantham,
CKR A 025,Cockatoo,Triton Cockatoo,Female,V08,Vasantham,
CKR A 013,Cockatoo,Triton Cockatoo,Male,V08,Vasantham,
CKR 26/28,Cockatoo,Triton Cockatoo,Male,V09,Vasantham,
CKR A 019,Cockatoo,Triton Cockatoo,Female,V09,Vasantham,
CKR C 006,Cockatoo,Umbrella Cockatoo,Male,V10,Vasantham,
No Ring,Cockatoo,Umbrella Cockatoo,Female,V10,Vasantham,
CKR A 020,Cockatoo,Triton Cockatoo,Male,V11,Vasantham,
CKR 10,Cockatoo,Umbrella Cockatoo,Female,V12,Vasantham,
No Ring,Cockatoo,Umbrella Cockatoo,Male,V12,Vasantham,
CKR 13,Cockatoo,Umbrella Cockatoo,Female,V13,Vasantham,
No Ring,Cockatoo,Umbrella Cockatoo,Male,V13,Vasantham,
CKR A 009,Cockatoo,Triton Cockatoo,Male,V14,Vasantham,
CKR A 022,Cockatoo,Triton Cockatoo,Female,V14,Vasantham,
PABW 053,Cockatoo,Mollucan Cockatoo,Female,V15,Vasantham,
CKR 0074,Cockatoo,Mollucan Cockatoo,Male,V15,Vasantham,
CKR A 036,Cockatoo,Medium Sulphur Cockatoo,Female,V16,Vasantham,
CKR A 030,Cockatoo,Medium Sulphur Cockatoo,Male,V16,Vasantham,
CKR A 289,Cockatoo,Medium Sulphur Cockatoo,Female,V17,Vasantham,
CKR C 444,Cockatoo,Medium Sulphur Cockatoo,Male,V17,Vasantham,
CKR A 029,Cockatoo,Medium Sulphur Cockatoo,Female,V18,Vasantham,
CKR A 035,Cockatoo,Medium Sulphur Cockatoo,Male,V18,Vasantham,
PABW 072,Cockatoo,Mollucan Cockatoo,Male,V19,Vasantham,
PABW 038,Cockatoo,Mollucan Cockatoo,Female,V19,Vasantham,
CKR A 045,Cockatoo,Triton Cockatoo,Male,V20,Vasantham,
CKR A 012,Cockatoo,Triton Cockatoo,Female,V20,Vasantham,
CKR 0003,Cockatoo,Umbrella Cockatoo,Female,V21,Vasantham,
No Ring,Cockatoo,Umbrella Cockatoo,Male,V21,Vasantham,
