Group Name,Aviary Name,Cage,Species Name,Male Parent Ring no,Female Parent Ring no,Egg no,Date of incubation,Egg type,Date of fertile,Remark,Pip Weight,Pip Date,Hatch Weight,Hatch Date,Shell weight,Hatch Type,Shell Thick,Dis type,Dis Date
Conure,Sun Conure,B03,Sun Conure,GB3167,GB2871,6234,21 February 2022,Fertile,28 February 2022,,,,,,,,,,
Conure,Sun Conure,A11,Sun Conure,CKRD1203,CKRD344,6235,21 February 2022,Fertile,28 February 2022,,,,,,,,,,
Conure,Sun Conure,A11,Sun Conure,CKRD1203,CKRD344,6236,21 February 2022,Fertile,28 February 2022,,,,,,,,,,
Conure,Sun Conure,A16,Sun Conure,GB3023,GB2855,6237,21 February 2022,Fertile,28 February 2022,,5.13,14 March 2022,,,,,,,
Conure,Sun Conure,B38,Sun & Janday Conure,GB3047,GB3323,6238,21 February 2022,DIS,28 February 2022,,,,,,,,,Late,11-03-2022
Conure,Sun Conure,B51,Nanday Conure,CKRB046,CKRB193,6239,21 February 2022,Fertile,28 February 2022,,6.96,13 March 2022,,,,,,,
Conure,Sun Conure,B52,Nanday Conure,CKR374,CKRA169,6240,21 February 2022,Fertile,28 February 2022,,,,,,,,,,
Conure,Sun Conure,A52,Sun Conure,GB2773,GB2602,6241,21 February 2022,Fertile,28 February 2022,,,,,,,,,,
Conure,Sun Conure,A31,Sun Conure,GB2875,GB3215,6242,21 February 2022,Fertile,28 February 2022,,7.97,13 March 2022,,,,,,,
Conure,Sun Conure,A31,Sun Conure,GB2875,GB3215,6243,21 February 2022,Fertile,28 February 2022,,,,,,,,,,
Conure,Sun Conure,A36,Sun Conure,CKRC251,CKRC256,6244,21 February 2022,Fertile,28 February 2022,,,,,,,,,,
Lory ,Lory,D06,Green Napped Lorikeet,YUV314,NORING,6245,21 February 2022,Broken,,,,,,,,,,,
Lory ,Lory,E17,Black Capped Lory,162,290,6246,21 February 2022,Fertile,28 February 2022,,,,,,,,,,
Lory ,Lory,E22,Swainson Lorikeet,CKRB141,CKRB092,6247,21 February 2022,Broken,,,,,,,,,,,
Lory ,Lory,E25,Red Collared Lorikeet,YMSBRC773,YO5067,6248,21 February 2022,Infertile,,,,,,,,,,,
Lory ,Lory,D27,Red Collared Lorikeet,CKRC283,CKRC202,6249,21 February 2022,Fertile,28 February 2022,,,,,,,,,,
Lory ,Lory,E31,Olive Swainson Lorikeet+ Swainson Lorikeet,CKRC230,CKRC266,6250,21 February 2022,DIS,28 February 2022,,,,,,,,,Mid,08-03-2022
Lory ,Lory,E36,Olive Swainson Lorikeet+ Swainson Lorikeet,CKRD1476,CKRB114,6251,21 February 2022,Fertile,28 February 2022,,,,,,,,,,
Lory ,Lory,E36,Olive Swainson Lorikeet+ Swainson Lorikeet,CKRD1476,CKRB114,6252,21 February 2022,Fertile,28 February 2022,,,,,,,,,,
Lory ,Lory,D36,Green Napped Lorikeet,7NG2122,BH7318,6253,21 February 2022,DIS,27 February 2022,,,,,,,,,Early,28-02-2022
Lory ,Lory,F45,Olive Swainson Lorikeet,7L6678,T0660192,6254,21 February 2022,Infertile,,,,,,,,,,,
Lory ,Lory,F05,Red Collared Lorikeet,CKRC306,CKRC279,6255,21 February 2022,Fertile,28 February 2022,,,,,,,,,,
Conure,Lory,H26,Sun Conure,GD2692,GD3183,6256,21 February 2022,DIS,21 February 2022,,,,,,,,,Early,28-02-2022
Conure,Lory,H26,Sun Conure,GD2692,GD3183,6257,21 February 2022,Fertile,28 February 2022,,,,,,,,,,
Conure,Lory,H25,Sun & Janday Conure,Ckr21,Ckr057,6258,21 February 2022,Fertile,21 February 2022,,7.26,11 March 2022,5.52,13-03-2022,,,0.2,,
Conure,Lory,H25,Sun & Janday Conure,Ckr21,Ckr057,6259,21 February 2022,Fertile,28 February 2022,,6.08,14 March 2022,,,,,,,
Conure,Lory,K13,Sun Conure,CKRE1767,CKRE2004,6260,21 February 2022,Infertile,,,,,,,,,,,
Conure,Sun Conure,A44,Sun Conure,GB3220,GB3076,6261,22 February 2022,Infertile,,,,,,,,,,,
Conure,Sun Conure,A03,Sun Conure,GB3195,GB2825,6262,24 February 2022,Infertile,,,,,,,,,,,
Macaw,Thendral,T06,Blue Gold Macaw,022,CKR0083,2555,24 February 2022,DIS,,,,,,,,,,Late,02-03-2022
Cockatoo,Vasantham,V03,Goffin Cockatoo,167,175,2556,24 February 2022,DIS,12 February 2022,,,,,,,,,Late,27-02-2022
Parrot,Aruvi,A08,Gray parrot,VPW220,SG384,2557,24 February 2022,Infertile,,,,,,,,,,,
Cockatoo,Vasantham,V09,Triton Cockatoo,CKR26/28,CKRA019,2558,24 February 2022,Fertile,20 February 2022,,23.44,04 March 2022,18.67,05-03-2022,,,0.6,,
Cockatoo,Vasantham,V09,Triton Cockatoo,CKR26/28,CKRA019,2559,24 February 2022,,,,19.72,08 March 2022,15.12,09-03-2022,,,0.3,,
Cockatoo,Vasantham,V05,Medium Sulphur Cockatoo,CKR0002,CKR03,2560,24 February 2022,,,,20.47,13 March 2022,,,,,,,
Parrot,Aruvi,A05,Gray parrot,SG263,SG273,2561,24 February 2022,Infertile,,,,,,,,,,,
Parrot,Aruvi,A09,Gray parrot,SV0010,CKR0001C,2562,24 February 2022,DIS,21 February 2022,,,,,,,,,Early,24-02-2022
Parrot,Aruvi,A09,Gray parrot,SV0010,CKR0001C,2563,24 February 2022,Infertile,,,,,,,,,,,
Parrot,Aruvi,A09,Gray parrot,SV0010,CKR0001C,2564,24 February 2022,Infertile,,,,,,,,,,,
Parrot,Aruvi,A11,Gray parrot,CKR0038,JFS46,2565,24 February 2022,,,,19.17,09 March 2022,15.23,12-03-2022,,,0.3,,
