\,Aviary Name,Cage,Species Name,Male Parent Ring no,Female Parent Ring no,Egg no,Date of incubation,Egg type,Date of fertile,Remark,Pip Weight,Pip Date,Hatch Weight,Hatch Date,Shell weight,Hatch Type,Shell Thick,Dis type,Dis Date
Conure,Sun conure,B24,Sun & Jandaya,GB2636,GB3334,5810,10-01-2022,Fertile,17-01-2022,,,,,,,,,,
Conure,Sun conure,B6,Sun conure,GB3059,CPC143,5798,10-01-2022,Fertile,17-01-2022,,,,,,,,,,
Conure,Sun conure,A13,Sun conure,GB2905,GB3107,5770,06-01-2022,Fertile,13-01-2022,,,,,,,,,,
Conure,Sun conure,B18,Sun conure,GB2767,NAGU14,5793,06-01-2022,Fertile,13-01-2022,,,,,,,,,,
Conure,Sun conure,A12,Sun conure,CKRD386,CKRD841,5800,10-01-2022,Fertile,17-01-2022,,,,,,,,,,
Conure,Sun conure,A12,Sun conure,CKRD386,CKRD841,5801,10-01-2022,Fertile,17-01-2022,,,,,,,,,,
Conure,Sun conure,A16,Sun conure,GB3023,GB2855,5803,10-01-2022,Fertile,17-01-2022,,,,,,,,,,
Conure,Sun conure,A18,Sun conure,GB3174,GB3198,5805,10-01-2022,Fertile,17-01-2022,,,,,,,,,,
Conure,Sun conure,A29,Sun conure,GB273,GB2778,5815,10-01-2022,Fertile,17-01-2022,,,,,,,,,,
Conure,Sun conure,B31,Sun conure,CKRA442,CKR279,5817,10-01-2022,Fertile,17-01-2022,,,,,,,,,,
Conure,Sun conure,B20,Sun conure,GB2815,CKRB154,5807,10-01-2022,Fertile,17-01-2022,,,,,,,,,,
Conure,Sun conure,A25,Sun conure,GB2879,GB3175,5811,10-01-2022,Fertile,17-01-2022,,,,,,,,,,
Conure,Sun conure,B48,Nandaya conure,CKRB139&133,CKRA167,5823,10-01-2022,Fertile,17-01-2022,,,,,,,,,,
Conure,Sun conure,B30,Sun conure,GB2702,GB2823,5816,10-01-2022,Fertile,17-01-2022,,,,,,,,,,
Conure,Sun conure,B48,Nandaya conure,CKRB139&133,CKRA167,5780,06-01-2022,Infertile,,,,,,,,,,,
Conure,Sun conure,A27,Jandaya conure,GF0407,GF0403,5813,10-01-2022,Infertile,,,,,,,,,,,
Conure,Sun conure,A36,Sun conure,CKRC251,CKRC256,5820,10-01-2022,Fertile,17-01-2022,,,,,,,,,Early,16-01-2022
Conure,Sun conure,A27,Jandaya conure,GF0407,GF0403,5812,10-01-2022,Infertile,,,,,,,,,,,
Conure,Sun conure,B52,Nandaya conure,CKR374,CKRA169,5826,10-01-2022,Fertile,17-01-2022,,,,,,,,,,
Conure,Sun conure,A51,Sun conure,CKRD303,CKRD214,5825,10-01-2022,Fertile,17-01-2022,,,,,,,,,,
Conure,Sun conure,B27,Sun conure,GB2730,CKRB184,5814,10-01-2022,Fertile,17-01-2022,,,,,,,,,,
Conure,Sun conure,A33,Jandaya conure,CKRC245,CKRB170,5819,10-01-2022,Fertile,17-01-2022,,,,,,,,,,
Conure,Sun conure,B51,Nandaya conure,CKRB046,CKRB193,5824,10-01-2022,Fertile,17-01-2022,,,,,,,,,,
Conure,Sun conure,A8,Sun conure,GB2805,GB2915,5799,10-01-2022,Fertile,17-01-2022,,,,,,,,,,
Conure,Sun conure,B33,Jandaya conure,CKR53,CKRB136,5818,10-01-2022,Fertile,17-01-2022,,,,,,,,,,
Conure,Sun conure,B18,Sun conure,GB2767,NAGU14,5806,10-01-2022,Infertile,,,,,,,,,,,
Conure,Sun conure,A45,Sun conure,CKRC133,CKRD293,5822,10-01-2022,Fertile,17-01-2022,,5.45,15-01-2022,4.04,17-01-2022,0.68,Normal Hatch,0.1,,
Lory,Lory,E29,Red collard lory,CKRC204,CKRC208,5658,23-12-2021,Fertile,30-12-2021,,,,,,,,,,
Lory,Lory,E32,Red lory,,,5659,23-12-2021,Fertile,30-12-2021,,7.81,15-01-2022,6.14,16-01-2022,0.77,Normal Hatch,0.2,,
Lory,Lory,E39,Red lory,YUV40,PABW324,5661,23-12-2021,Fertile,30-12-2021,,7.4,14-01-2022,5.56,16-01-2022,0.52,Normal Hatch,0.1,,
Conure,Sun conure,B27,Sun conure,GB2730,CKRB184,5612,20-12-2021,Fertile,27-12-2021,,,,,,,,,Late,13-01-2022
Conure,Sun conure,B55,Nansun conure,CKRC252,CKRC338,5626,22-12-2021,Fertile,29-12-2021,,5.86,12-01-2022,4.58,14-01-2022,0.65,Normal Hatch,0.2,,
Conure,Sun conure,A14,Sun conure,GB2787,GB3124,5627,22-12-2021,Fertile,29-12-2021,,5.03,14-01-2022,,,,,,Late,17-01-2022
Conure,Sun conure,A49,Sun conure,CKRD1213,CKRD1221,5650,23-12-2021,Fertile,30-12-2021,,8.15,13-01-2022,6.35,15-01-2022,0.6,Normal Hatch,0.2,,
Lory,Lory,E29,Red collard lory,CKRC204,CKRC208,5657,23-12-2021,Fertile,30-12-2021,,6.13,14-01-2022,4.83,15-01-2022,0.52,Normal Hatch,0.2,,
Conure,Sun conure,A2,Sun conure,CKRB157,GB3071,5484,17-12-2021,Fertile,24-12-2021,,,,,,,,,Late,13-01-2022
Lory,Lory,E27,Red lory,ABW4849,ABW5154,5656,23-12-2021,Fertile,30-12-2021,,,,5.05,16-01-2022,0.61,Normal Hatch,0.1,,
Lory,Lory,D39,Olive swainson lory,,,5662,23-12-2021,Fertile,30-12-2021,,8.18,12-01-2022,6,14-01-2022,0.63,Normal Hatch,0.2,,
Lory,Lory,D38,Red collard lory,"HL7810,CKR","TE4550,CKRB",5660,23-12-2021,Fertile,30-12-2021,,,,,,,,,Late,18-01-2022
