S.No,Ring No,Group,Bird Species,Gender,Cage ,Aviary,Bird status,Status,Upload,Action
85,CKRF 156,Conure,Sun Conure,,C14,Garden,,,,
86,CKRE 1342,Conure,Sun Conure,,C15,Garden,,,,
87,CKRF 141,Conure,Sun Conure,,C16,Garden,,,,
88,CKRE 1330,Conure,Sun Conure,,C17,Garden,,,,
89,CKRF 176,Conure,Sun Conure,,C18,Garden,,,,
90,CKRF590,Lorikeet,Swainson Lory,Male,C22,Garden,,,,
91,CKRF593,Lorikeet,Swainson Lory,Male,C21,Garden,,,,
92,CKRF580,Lorikeet,Swainson Lory,Male,C22,Garden,,,,
93,CKRF781,Lorikeet,Swainson Lory,Male,C22,Garden,,,,
94,CKRF767,Lorikeet,Swainson Lory,Female,C21,Garden,,,,
95,CKRF766,Lorikeet,Swainson Lory,Female,C22,Garden,,,,
96,CKRF360,Lorikeet,Swainson Lory,Female,C21,Garden,,,,
97,ACEIND2575,Lorikeet,Swainson Lory,,C21,Garden,,,,
98,CKRF393,Lory,Black Capped Chatting Lory,Male,,Sales ,,,,
99,CKRF332,Lory,Black Capped Chatting Lory,Female,,Sales ,,,,
100,CKRF327,Lory,Black Capped Chatting Lory,,,Sales ,,,,
101,M040,Lory,Black Capped Lory,,,Sales ,,,,
102,M058,Lory,Black Capped Lory,,,Sales ,,,,
103,MCR047,Lory,Black Capped Lory,,,Sales ,,,,
104,CKRD 1906,Conure,Crimson bellied Conure,Female,,Sales ,,,,
105,CKR E 020,Conure,Crimson bellied Conure,Female,,Sales ,,,,
106,CKRE017,Conure,Crimson Bellied Conure,Male,,Sales ,,,,
107,CKRE018,Conure,Crimson Bellied Conure,Male,,Sales ,,,,
108,CKRF411,Conure,Crimson Bellied Conure,Female,,Sales ,,,,
109,CKRF366,Lorikeet,Green Napped Lorikeet,Female,,Sales ,,,,
110,ACEIND2572,Lorikeet,Green Napped Lorikeet,,,Sales ,,,,
111,ACEIND2574,Lorikeet,Green Napped Lorikeet,,,Sales ,,,,
112,CKRD1764,Cockatoo,MAJOR MITCHAL GALAH COCKATOO,Male,,Sales ,,,,
113,CKRD1692,Cockatoo,MAJOR MITCHAL GALAH COCKATOO,Male,,Sales ,,,,
114,CKRD 618,Conure,Nanday Conure,Male,,Sales ,,,,
115,CKRF333,Conure,Nanday Conure,,,Sales ,,,,
116,CKRF331,Conure,Nanday Conure,,,Sales ,,,,
117,CKRF286,Conure,Nanday Conure,,,Sales ,,,,
118,CKRF281,Conure,Nanday Conure,,,Sales ,,,,
119,CKRF284,Conure,Nanday Conure,,,Sales ,,,,
120,ACEIND2567,Conure,Nanday Conure,,,Sales ,,,,
121,ACEIND2568,Conure,Nanday Conure,,,Sales ,,,,
122,ACEIND2569,Conure,Nanday Conure,,,Sales ,,,,
123,ACEIND2570,Conure,Nanday Conure,,,Sales ,,,,
124,ACEIND2571,Conure,Nanday Conure,,,Sales ,,,,
125,CKRF 1043,Conure,Nansun Conure,Male,,Sales ,,,,
126,CKRF 1028,Conure,Nansun Conure,Male,,Sales ,,,,
127,CKRF 1033,Conure,Nansun Conure,Male,,Sales ,,,,
128,CKRF 1026,Conure,Nansun Conure,Male,,Sales ,,,,
129,CKRF 1050,Conure,Nansun Conure,Male,,Sales ,,,,
130,FC 94,Conure,Nansun Conure,Male,,Sales ,,,,
131,CKRF 1029,Conure,Nansun Conure,Female,,Sales ,,,,
132,CKRF282,Parrot,Red Belly,,,Sales ,,,,
133,CKRF283,Parrot,Red Belly,,,Sales ,,,,
134,CKRF354,Parrot,Red Belly,,,Sales ,,,,
135,CKRF776,Lorikeet,Red Collard Lory,Female,,Sales ,,,,
136,CKRF362,Lorikeet,Red Collard Lory,Male,,Sales ,,,,
137,CKRF355,Lorikeet,Red Collard Lory,Female,,Sales ,,,,
138,CKRF370,Lorikeet,Red Collard Lory,Female,,Sales ,,,,
139,CKRF779,Lorikeet,Red Collard Lory,Male,,Sales ,,,,
140,ACEIND2573,Lorikeet,Red Collard Lory,,,Sales ,,,,
141,CKRF 1023,Conure,Redmask Conure,Male,,Sales ,,,,
142,CKRF 1042,Conure,Redmask Conure,Male,,Sales ,,,,
143,CKR E 2133,Conure,Sun & Janday Conure,Male,,Sales ,,,,
144,GB 3218,Conure,Sun Conure,Male,,Sales ,,,,
145,GB 2869,Conure,Sun Conure,Male,,Sales ,,,,
146,CKRF777,Lorikeet,Swainson Lorikeet,Male,,Sales ,,,,
147,CKRF405,Lorikeet,Swainson Lorikeet,Female,,Sales ,,,,
148,CKRF765,Lorikeet,Swainson Lory,Female,,Sales ,,,,
149,CKRF579,Lorikeet,Swainson Lory,Female,,Sales ,,,,
150,CKRF358,Lorikeet,Swainson Lory,Male,,Sales ,,,,
151,ACEIND2576,Lorikeet,Swainson Lory,,,Sales ,,,,
152,CKRD 719 no ring,Pionus,White Headed pionus,Female,,Sales ,,,,
153,89PINZ14,Cockatoo,Major Mitchell's Cockatoo,Male,S01,Solai,,,,
154,CKR A 069,Cockatoo,Triton Cockatoo,Male,S02,Solai,,,,
155,GF CL 618,Cockatoo,Mollucan Cockatoo,Female,S03,Solai,,,,
156,SSG-176,Cockatoo,Mollucan Cockatoo,MALE,S03,Solai,,,,
157,PAB W 031,Cockatoo,Mollucan Cockatoo,Female,S04,Solai,,,,
158,SSG-194,Cockatoo,Mollucan Cockatoo,MALE,S04,Solai,,,,
159,P3 SG27,Parrot,Gray parrots,,S05,Solai,,,,
160,SV 002,Parrot,Gray parrots,Female,S05,Solai,,,,
161,CKR 0005,Parrot,Gray parrots,Female,S05,Solai,,,,
162,93PINZ14,Cockatoo,Major Mitchell's Cockatoo,Male,S06,Solai,,,,
163,,Macaw,Blue and Gold Macaw,,S07,Solai,,,,
164,CKR A 037,Cockatoo,Medium Sulphur Cockatoo,Male,S08,Solai,,,,
165,CKR 0056,Macaw,Blue and Gold Macaw,Male,S09,Solai,,,,
