Age,standard weight
1,6.0
2,7.0
3,8.1
4,9.7
5,11.8
6,14.3
7,17.4
8,20.9
9,25.2
10,30.2
11,36.3
12,42.2
13,48.6
14,54.8
15,61.7
16,67.7
17,73.9
18,79.3
19,85.4
20,91.9
21,96.7
22,101.1
23,106.0
24,110.4
25,114.2
26,118.0
27,120.9
28,124.4
29,126.4
30,128.8
