Group Name,Aviary Name,Cage,Species Name,Male Parent Ring no,Female Parent Ring no,Egg no,Date of incubation,Egg type,Date of fertile,Remark,Pip Weight,Pip Date,Hatch Weight,Hatch Date,Shell weight,Hatch Type,Shell Thick,Dis type,Dis Date
Cockatoo,Sun Conure,B03,Black Capped Lory,GB3167,GB2871,6289,01-03-2022,Fertile,08-03-2022,,6.54,21-03-2022,5.36,23-03-2022,0.8,Normal,0.2,0,
Cockatoo,Sun Conure,B38,Black Capped Lory,GB3047,GB3323,6290,01-03-2022,Fertile,08-03-2022,,7.53,21-03-2022,5.16,24-03-2022,1.15,Normal,0.2,0,
Cockatoo,Sun Conure,B39,Black Capped Lory,GB2956,Ckr153,6291,01-03-2022,Fertile,08-03-2022,,10.41,19-03-2022,7.31,21-03-2022,0.85,Normal,0.3,0,
Cockatoo,Lory,E43,Black Capped Lory,CKRC315,CKRC294,6292,01-03-2022,Fertile,08-03-2022,,7.6,22-03-2022,5.91,24-03-2022,1.07,Assist,0.3,0,
Cockatoo,Sun Conure,B11,Black Capped Lory,GB2754,GB2759,6293,01-03-2022,Fertile,08-03-2022,,7.86,21-03-2022,6.26,23-03-2022,0.73,Normal,0.3,0,
Cockatoo,Sun Conure,B12,Black Capped Lory,GB2701,GB3332,6294,01-03-2022,Fertile,08-03-2022,,8.43,20-03-2022,6.74,22-03-2022,1.27,Normal,0.3,0,
Cockatoo,Sun Conure,A36,Black Capped Lory,CKRC251,CKRC256,6295,01-03-2022,Fertile,08-03-2022,,6.78,20-03-2022,5.53,21-03-2022,0.93,Normal,0.3,0,
Cockatoo,Lory,D24,Black Capped Lory,CKRB215,TSNZ80,6296,01-03-2022,DIS,08-03-2022,,0,,0,,0,0,0,Mid,11-03-2022
Cockatoo,Sun Conure,B52,Black Capped Lory,CKR374,CKRA169,6297,01-03-2022,Fertile,08-03-2022,,6.16,21-03-2022,5,22-03-2022,0.93,Normal,0.2,0,
Cockatoo,Lory,D11,Black Capped Lory,YUV400,YUV287,6298,01-03-2022,Fertile,08-03-2022,,6.72,24-03-2022,5.21,27-03-2022,0.86,Normal,0.2,0,
Cockatoo,Lory,D27,Black Capped Lory,CKRC283,CKRC202,6299,01-03-2022,DIS,08-03-2022,,0,,0,,0,0,0,Late,27-03-2022
Cockatoo,Lory,E24,Black Capped Lory,GYYYO5078,4l7858,6300,01-03-2022,Fertile,08-03-2022,,6.41,23-03-2022,4.6,25-03-2022,0.52,Assist,0.1,0,
Cockatoo,Lory,D30,Black Capped Lory,CKRA480,CKRA417,6301,01-03-2022,DIS,08-03-2022,,0,,0,,0,0,0,Mid,10-03-2022
Cockatoo,Lory,E40,Black Capped Lory,CKRC309,CKRC411,6302,01-03-2022,Infertile,,,0,,0,,0,0,0,0,
Cockatoo,Lory,E21,Black Capped Lory,CKRC249,CKRD1489,6303,01-03-2022,Fertile,08-03-2022,,7.34,21-03-2022,5.84,23-03-2022,0.81,Normal,0.2,0,
Cockatoo,Lory,I 05,Black Capped Lory,CKR21,OMC038,6304,01-03-2022,Fertile,08-03-2022,,7.61,24-03-2022,6,26-03-2022,0.77,Normal,0.2,0,
Cockatoo,Lory,E10,Black Capped Lory,CKRC369,CKRC263,6305,01-03-2022,Fertile,08-03-2022,,7.05,21-03-2022,5.49,24-03-2022,0.53,Normal,0.1,0,
Cockatoo,Lory,E02,Black Capped Lory,395,392,6307,01-03-2022,DIS,08-03-2022,,0,,0,,0,0,0,Late,23-03-2022
Cockatoo,Lory,E45,Black Capped Lory,TC6AQ238,AP8377,6306,02-03-2022,Infertile,,,0,,0,,0,0,0,0,
Cockatoo,Sun Conure,B02,Black Capped Lory,CKRC221,CKRD316,6308,06-03-2022,Infertile,,,0,,0,,0,0,0,0,
Cockatoo,Sun Conure,B02,Black Capped Lory,CKRC221,CKRD316,6309,06-03-2022,Infertile,,,0,,0,,0,0,0,0,
Cockatoo,Sun Conure,A02,Black Capped Lory,CKRB157,GB3071,6310,06-03-2022,Fertile,13-03-2022,,7.94,26-03-2022,6.42,27-03-2022,1.08,Normal,0.1,0,
Cockatoo,Sun Conure,A02,Black Capped Lory,CKRB157,GB3071,6311,06-03-2022,Fertile,13-03-2022,,7.7,26-03-2022,5.95,29-03-2022,0.68,Normal,0.2,0,
Cockatoo,Sun Conure,B04,Black Capped Lory,CKRD216,CKRD1380,6312,06-03-2022,Infertile,,,0,,0,,0,0,0,0,
Cockatoo,Sun Conure,B04,Black Capped Lory,CKRD216,CKRD1380,6313,06-03-2022,Infertile,,,0,,0,,0,0,0,0,
Cockatoo,Sun Conure,B11,Black Capped Lory,GB2754,GB2759,6315,06-03-2022,Fertile,13-03-2022,,7.8,27-03-2022,6.24,29-03-2022,0.88,Normal,0.2,0,
Cockatoo,Sun Conure,A11,Black Capped Lory,CKRD1203,CKRD344,6316,06-03-2022,Fertile,13-03-2022,,4.91,22-03-2022,4,23-03-2022,0.66,Normal,0.2,0,
Cockatoo,Sun Conure,B12,Black Capped Lory,GB2701,GB3332,6317,06-03-2022,Fertile,13-03-2022,,7.86,24-03-2022,6.52,24-03-2022,1,Normal,0.2,0,
Cockatoo,Sun Conure,A22,Black Capped Lory,GB2783,GB2785,6318,06-03-2022,Fertile,13-03-2022,,6.21,26-03-2022,4.79,29-03-2022,0.43,Normal,0.2,0,
Cockatoo,Sun Conure,A24,Black Capped Lory,Ckr190,ckr2788,6319,06-03-2022,Infertile,,,0,,0,,0,0,0,0,
Cockatoo,Sun Conure,A24,Black Capped Lory,Ckr190,ckr2788,6320,06-03-2022,Infertile,,,0,,0,,0,0,0,0,
Cockatoo,Sun Conure,A31,Black Capped Lory,GB2875,GB3215,6321,06-03-2022,DIS,13-03-2022,,7.26,24-03-2022,0,,0,0,0,Late,27-03-2022
Cockatoo,Sun Conure,B32,Black Capped Lory,GB2874,GB3126,6322,06-03-2022,Fertile,13-03-2022,,6.44,24-03-2022,5.26,26-03-2022,0.81,Normal,0.1,0,
