Ring no,Group Name,Species Name,Gender,Cage,Aviary Name,Proven,Actual Weight
VRS 66,Conure,Sun Conure,Male,A40,Sun Conure  Aviary,Proven,
GB 2719,Conure,Sun Conure,Male,A41,Sun Conure  Aviary,Proven,
GB 2955,Conure,Sun Conure,Female,A41,Sun Conure  Aviary,Proven,
GB 2649,Conure,Sun Conure,Female,A42,Sun Conure  Aviary,Proven,
GB 2895,Conure,Sun Conure,Male,A42,Sun Conure  Aviary,Proven,
CKR 30,Parrot,Caique,Male,A43,Sun Conure  Aviary,Proven,
CKR B 196,Parrot,Caique,Female,A43,Sun Conure  Aviary,Proven,
GB 3076,Conure,Sun Conure,Female,A44,Sun Conure  Aviary,Proven,
GB 3220,Conure,Sun Conure,Male,A44,Sun Conure  Aviary,Proven,
CKR D 293,Conure,Sun Conure,Female,A45,Sun Conure  Aviary,Proven,
CKR C 133,Conure,Sun Conure,Male,A45,Sun Conure  Aviary,Proven,
CKRB 191,Conure,Sun Conure,Female,A46,Sun Conure  Aviary,Proven,
GB 3211,Conure,Sun Conure,Male,A46,Sun Conure  Aviary,Proven,
CKR D 154,Conure,Sun Conure,Female,A47,Sun Conure  Aviary,Proven,
CKR D 372,Conure,Sun Conure,Male,A47,Sun Conure  Aviary,Proven,
CKR C 325,Conure,Sun Conure,Male,A48,Sun Conure  Aviary,Proven,
CKR C 331,Conure,Sun Conure,Female,A48,Sun Conure  Aviary,Proven,
CKR D 1221,Conure,Sun Conure,Female,A49,Sun Conure  Aviary,Proven,
CKR D 1213,Conure,Sun Conure,Male,A49,Sun Conure  Aviary,Proven,
CKR D 161,Conure,Sun Conure,Female,A50,Sun Conure  Aviary,Proven,
CKR D 894,Conure,Sun Conure,Male,A50,Sun Conure  Aviary,Proven,
CKR D 214,Conure,Sun Conure,Female,A51,Sun Conure  Aviary,Proven,
CKR D 303,Conure,Sun Conure,Male,A51,Sun Conure  Aviary,Proven,
GB 2602,Conure,Sun Conure,Female,A52,Sun Conure  Aviary,Proven,
GB 2773,Conure,Sun Conure,Male,A52,Sun Conure  Aviary,Proven,
CKR C 141,Conure,Janday Conure,Female,A53,Sun Conure  Aviary,Proven,
JF 405,Conure,Janday Conure,Male,A53,Sun Conure  Aviary,Proven,
GB 2790,Conure,Sun Conure,Female,A54,Sun Conure  Aviary,Proven,
SATHISH 16,Conure,Sun Conure,Male,A54,Sun Conure  Aviary,Proven,
GB 3186,Conure,Sun Conure,Male,A55,Sun Conure  Aviary,Proven,
SATHISH 18,Conure,Sun Conure,Female,A55,Sun Conure  Aviary,Proven,
GB 2898,Conure,Sun Conure,Male,A56,Sun Conure  Aviary,Proven,
