Group Name,Aviary Name,Cage,Species Name,Male Parent Ring no,Female Parent Ring no,Egg no,Date of incubation,Egg type,Date of fertile,Date of brooder 36,Date of brooder 35,Date of brooder 34,Date of brooder 33,Remark,Pip Weight,Pip Date,Hatch Weight,Hatch Date,Shell weight,Hatch Type,Shell Thick,Dis type,Dis Date
Lorikeet,Lory,D24,Olive Swainson Lorikeet,CKRB215,TSNZ80,6558,04-04-2022,Fertile,11-04-2022,27-04-2022,05-05-2022,,,,7.14,25-04-2022,5.38,27-04-2022,0.69,,0.3,,
Lory,Lory,E23,Red Lory ,ABW5142,ABW5160,6559,04-04-2022,Fertile,11-04-2022,29-04-2022,,,,,7.45,28-04-2022,5.9,29-04-2022,0.68,Assist,0.2,,
Lorikeet,Lory,E10,Swainson Lorikeet,CKRC369,CKRC263,6560,04-04-2022,Fertile,11-04-2022,26-04-2022,04-05-2022,,,,7.22,24-04-2022,5.73,26-04-2022,0.91,Normal,0.2,,
Conure,Sun Conure,B03,Sun Conure,GB3167,GB2871,6563,11-04-2022,Fertile,18-04-2022,30-04-2022,,,,,,,5.38,30-04-2022,0.91,Normal,7.9,,
Conure,Sun Conure,B12,Sun & Janday Conure,GB2701,GB3332,6566,11-04-2022,Fertile,18-04-2022,29-04-2022,,,,,7.7,27-04-2022,6.1,29-04-2022,0.5,Normal,8.59,,
Conure,Sun Conure,B26,Sun Conure,GB2892,GB2932,6567,11-04-2022,Fertile,18-04-2022,29-04-2022,,,,,4.84,28-04-2022,3.47,29-04-2022,1.12,Assist,5.84,,
Conure,Sun Conure,A41,Sun Conure,GB2719,GB2955,6568,11-04-2022,Fertile,18-04-2022,30-04-2022,,,,,5,28-04-2022,4.01,30-04-2022,0.48,Assist,5.68,,
Lory,Lory,E09,Black Capped  Lory,SUNIL664,SUNIL637,6572,11-04-2022,Fertile,18-04-2022,02-05-2022,,,,,,,5.58,02-05-2022,0.74,Assist,9.24,,
Lory,Lory,E09,Black Capped  Lory,SUNIL664,SUNIL637,6573,11-04-2022,Fertile,18-04-2022,04-05-2022,,,,,8.54,02-05-2022,6.8,04-05-2022,0.63,Normal,9.56,,
Lorikeet,Lory,D28,Scaly Breasted Lorikeet,GF0346,CKRA158,6574,11-04-2022,Fertile,18-04-2022,29-04-2022,,,,,4.57,28-04-2022,3.72,29-04-2022,0.8,Normal,5.12,,
Lorikeet,Lory,D33,Swainson Lorikeet,SA256,CKRB050,6577,11-04-2022,Fertile,18-04-2022,03-05-2022,,,,,6.32,01-05-2022,5.17,03-05-2022,0.45,Normal,7.28,,
Lorikeet,Lory,E37,Green Napped Lorikeet,YUV304,YUV398,6581,11-04-2022,Fertile,18-04-2022,01-05-2022,,,,,5.19,30-04-2022,3.88,01-05-2022,0.58,Normal,5.93,,
Lorikeet,Lory,D38,Red Collared Lorikeet,HL7810,CKR182/TE4550,6583,11-04-2022,Fertile,18-04-2022,03-05-2022,,,,,6.56,01-05-2022,5.21,03-05-2022,0.53,Normal,6.19,,
Conure,Sun Conure,A32,Sun Conure,CKRC339,CKRD317,6592,15-04-2022,Fertile,22-04-2022,29-04-2022,,,,,7.97,28-04-2022,6.48,29-04-2022,0.8,Assist,8.64,,
Conure,Sun Conure,A32,Sun Conure,CKRC339,CKRD317,6593,15-04-2022,Fertile,22-04-2022,04-05-2022,,,,,8,02-05-2022,6.48,04-05-2022,0.79,Normal,8.74,,
Lorikeet,Lory,D26,Olive Swainson Lorikeet + Swainson Lorikeet,CKRC257,NORING,6608,15-04-2022,Fertile,22-04-2022,02-05-2022,,,,,7.12,01-05-2022,5.61,02-05-2022,1.03,Assist,7.64,,
Lorikeet,Lory,E25,Red Collared Lorikeet,YMSBRC773,YO5067,6610,15-04-2022,Fertile,22-04-2022,03-05-2022,,,,,7.7,02-05-2022,6.3,03-05-2022,0.73,Normal,8.38,,
Lory,Lory,E15,Red Lory ,ABW5141,5153,6612,15-04-2022,Fertile,22-04-2022,03-05-2022,,,,,6.85,02-05-2022,5.61,03-05-2022,0.96,Normal,7.89,,
