Group Name,Aviary Name,Cage,Species Name,Ring no,Gender,Proven,Bird status
Conure,Garden,C09,Sun Conure,CKRF142,,Semi adult,Hold
Conure,Garden,C10,Sun Conure,CKRE1645,,Semi adult,Hold
Conure,Garden,C12,Sun Conure,CKRF101,,Semi adult,Hold
Conure,Garden,C13,Sun Conure,CKRE1572,,Semi adult,Hold
Conure,Garden,C14,Sun Conure,CKRF156,,Semi adult,Hold
Conure,Garden,C15,Sun Conure,CKRE1342,,Semi adult,Hold
Conure,Garden,C16,Sun Conure,CKRF141,,Semi adult,Hold
Conure,Garden,C17,Sun Conure,CKRE1330,,Semi adult,Hold
Conure,Garden,C18,Sun Conure,CKRF176,,Semi adult,Hold
Lorikeet,Garden,C22,Swainson Lorikeet,CKRF590,Male,Semi adult,Hold
Lorikeet,Garden,C21,Swainson Lorikeet,CKRF593,Male,Semi adult,Hold
Lorikeet,Garden,C22,Swainson Lorikeet,CKRF580,Male,Semi adult,Hold
Lorikeet,Garden,C22,Swainson Lorikeet,CKRF781,Male,Semi adult,Hold
Lorikeet,Garden,C21,Swainson Lorikeet,CKRF767,Female,Semi adult,Hold
Lorikeet,Garden,C22,Swainson Lorikeet,CKRF766,Female,Semi adult,Hold
Lorikeet,Garden,C21,Swainson Lorikeet,CKRF360,Female,Semi adult,Hold
Lorikeet,Garden,C21,Swainson Lorikeet,ACEIND2575,,Semi adult,Hold
Lory ,Sales,,Black Capped & chattering Lory,CKRF393,Male,Semi adult,Sale
Lory ,Sales,,Black Capped & chattering Lory,CKRF332,Female,Semi adult,Sale
Lory ,Sales,,Black Capped & chattering Lory,CKRF327,,Semi adult,Sale
Lory ,Sales,,Black Capped Lory,M040,,Semi adult,Sale
Lory ,Sales,,Black Capped Lory,M058,,Semi adult,Sale
Lory ,Sales,,Black Capped Lory,MCR047,,Semi adult,Sale
Conure,Sales,,Crimson Bellied conure,CKRD1906,Female,Semi adult,Sale
Conure,Sales,,Crimson Bellied conure,CKRE020,Female,Semi adult,Sale
Conure,Sales,,Crimson Bellied conure,CKRE017,Male,Semi adult,Sale
Conure,Sales,,Crimson Bellied conure,CKRE018,Male,Semi adult,Sale
Conure,Sales,,Crimson Bellied conure,CKRF411,Female,Semi adult,Sale
