Group Name,Aviary Name,Cage,Species Name,Male Parent Ring no,Female Parent Ring no,Egg no,Date of incubation,Egg type,Date of fertile,Remark,Pip Weight,Pip Date,Hatch Weight,Hatch Date,Shell weight,Hatch Type,Shell Thick,Dis type,Dis Date
Conure,Sun Conure,B03,Sun Conure,GB3167,GB2871,6234,21-Feb-22,Fertile,28-Feb-22,,7.08,16-Mar-22,5.79,17-Mar-22,,Normal,0.1,,
Conure,Sun Conure,A11,Sun Conure,CKRD1203,CKRD344,6235,21-Feb-22,Fertile,28-Feb-22,,6.66,16-Mar-22,5.32,18-Mar-22,,Normal,0.2,,
Conure,Sun Conure,A11,Sun Conure,CKRD1203,CKRD344,6236,21-Feb-22,Fertile,28-Feb-22,,6.34,15-Mar-22,,,,,,Late,16-Mar-22
Conure,Sun Conure,A16,Sun Conure,GB3023,GB2855,6237,21-Feb-22,Fertile,28-Feb-22,,5.13,14-Mar-22,4.06,15-Mar-22,,Normal,0.1,,
Conure,Sun Conure,B38,Sun & Janday Conure,GB3047,GB3323,6238,21-Feb-22,Fertile,28-Feb-22,,,,,,,,,Late,11-Mar-22
Conure,Sun Conure,B51,Nanday Conure,CKRB046,CKRB193,6239,21-Feb-22,Fertile,28-Feb-22,,6.96,13-Mar-22,5.53,15-Mar-22,,Normal,0.3,,
Conure,Sun Conure,B52,Nanday Conure,CKR374,CKRA169,6240,21-Feb-22,Fertile,28-Feb-22,,6.95,15-Mar-22,5.34,16-Mar-22,,Normal,0.2,,
Conure,Sun Conure,A52,Sun Conure,GB2773,GB2602,6241,21-Feb-22,Fertile,28-Feb-22,,,,,,,,,Late,15-Mar-22
Conure,Sun Conure,A31,Sun Conure,GB2875,GB3215,6242,21-Feb-22,Fertile,28-Feb-22,,7.97,13-Mar-22,6.3,16-Mar-22,,Normal,0.2,,
Conure,Sun Conure,A31,Sun Conure,GB2875,GB3215,6243,21-Feb-22,Fertile,28-Feb-22,,7.67,16-Mar-22,5.92,20-Mar-22,,Normal,0.1,,
Conure,Sun Conure,A36,Sun Conure,CKRC251,CKRC256,6244,21-Feb-22,Fertile,28-Feb-22,,6.29,15-Mar-22,5,16-Mar-22,,Normal,0.2,,
Lory ,Lory,D06,Green Napped Lorikeet,YUV314,NORING,6245,21-Feb-22,Broken,,,,,,,,,,,
Lory ,Lory,E17,Black Capped Lory,162,290,6246,21-Feb-22,Fertile,28-Feb-22,,10.45,17-Mar-22,8.14,19-Mar-22,,Normal,0.3,,
Lory ,Lory,E22,Black Capped Lory,CKRB141,CKRB092,6247,21-Feb-22,Broken,,,,,,,,,,,
Lory ,Lory,E25,Black Capped Lory,YMSBRC773,YO5067,6248,21-Feb-22,Infertile,,,,,,,,,,,
Lory ,Lory,D27,Black Capped Lory,CKRC283,CKRC202,6249,21-Feb-22,Fertile,28-Feb-22,,5.52,15-Mar-22,3.91,18-Mar-22,,Normal,0.2,,
Lory ,Lory,E31,Black Capped Lory,CKRC230,CKRC266,6250,21-Feb-22,Fertile,28-Feb-22,,,,,,,,,Mid,08-Mar-22
Lory ,Lory,E36,Black Capped Lory,CKRD1476,CKRB114,6251,21-Feb-22,Fertile,28-Feb-22,,5.78,16-Mar-22,4.15,19-Mar-22,,Assist,0.1,,
Lory ,Lory,E36,Black Capped Lory,CKRD1476,CKRB114,6252,21-Feb-22,Fertile,28-Feb-22,,,,,,,,,Late,15-Mar-22
Lory ,Lory,D36,Black Capped Lory,7NG2122,BH7318,6253,21-Feb-22,Fertile,27-Feb-22,,,,,,,,,Early,28-Feb-22
Lory ,Lory,F45,Black Capped Lory,7L6678,T0660192,6254,21-Feb-22,Infertile,,,,,,,,,,,
Lory ,Lory,F05,Black Capped Lory,CKRC306,CKRC279,6255,21-Feb-22,Fertile,28-Feb-22,,5.71,16-Mar-22,4.6,17-Mar-22,,Normal,0.2,,
Conure,Lory,H26,Black Capped Lory,GD2692,GD3183,6256,21-Feb-22,Fertile,21-Feb-22,,,,,,,,,Early,28-Feb-22
Conure,Lory,H26,Black Capped Lory,GD2692,GD3183,6257,21-Feb-22,Fertile,28-Feb-22,,4,15-Mar-22,,,,,,Late,16-Mar-22
Conure,Lory,H25,Black Capped Lory,Ckr21,Ckr057,6258,21-Feb-22,Fertile,21-Feb-22,,7.26,11-Mar-22,5.52,13-Mar-22,,Normal,0.2,Late,
Conure,Lory,H25,Black Capped Lory,Ckr21,Ckr057,6259,21-Feb-22,Fertile,28-Feb-22,,6.08,14-Mar-22,4.78,16-Mar-22,,Normal,,,
Conure,Lory,K13,Black Capped Lory,CKRE1767,CKRE2004,6260,21-Feb-22,Infertile,,,,,,,,,,,
Conure,Sun Conure,A44,Black Capped Lory,GB3220,GB3076,6261,22-Feb-22,Infertile,,,,,,,,,,,
Conure,Sun Conure,A03,Black Capped Lory,GB3195,GB2825,6262,24-Feb-22,Infertile,,,,,,,,,,,
