Aviary,Group,Species,Section,Material,Target,Actual Type
Thenral,Macaw,Green Wing Macaw,Morning,Papaya - 2kg,4L,Weekly once
Thenral,Macaw,Blue and Gold Macaw,Morning,Guava- 2kg,7,Weekly once
Solai,Macaw,Scarlet Macaw,Morning,Rice,300ml,Daily twice
Solai,Macaw,Green Wing Macaw,Morning,Tor Dal,300ml,Daily twice
Solai,Macaw,Blue and Gold Macaw,Morning,Green Gram,4L,Daily once
Solai,Cockatoo,Mollucan Cockatoo,Morning,Black Channa,6,Daily twice
Solai,Cockatoo,Medium Sulphur Cockatoo,Morning,White Channa,300ml,Daily twice
Solai,Cockatoo,Major Mitchells Cockatoo,Morning,Water quantity for mixing,300ml,Daily twice
Lory cage,Lory,Yellow Bibbed Lory,Morning,Water quantity for boiling,4L,Daily twice
Lory cage,Lory,Red Lory,Morning,Sunflower seeds (Kg),5,Daily twice
Lory cage,Lory,Chattering Lory,Morning,Water quantity for mixing,300ml,Daily twice
Lory cage,Lory,Black capped Lory,Morning,Water quantity for boiling,4L,Daily once
Lory cage,Lorikeet,Red collar lory (Olive),Morning,Egg- Parrot Aruvi,0.125,Weekly once
Lory cage,Lorikeet,Swainson's Lorikeet (Olive),Morning,Egg- macaw Thendral & solai,0.075,Weekly once
Lory cage,Lorikeet,Swainson's Lorikeet,Morning,Papaya - 2kg,,Weekly once
Lory cage,Lorikeet,Red Collared Lorikeet,Morning,Guava- 2kg,4,Weekly once
Lory cage,Lorikeet,Green Napped Lorikeet,Morning,Rice,0.25,Daily twice
Lory cage,Conure,Janday conure,Morning,Tor Dal,0.1,Daily twice
Lory cage,Conure,Crimson bellied conure,Morning,Green Gram,0.25,Daily once
Lory cage,Amazon,Cuban Amazon,Morning,Black Channa,0.2,Daily twice
Garden,Lory,Yellow Bibbed Lory,Morning,White Channa,0.35,Daily twice
Garden,Lory,Red Lory,Morning,Water quantity for mixing,2L,Daily twice
Garden,Lorikeet,Swainson's Lorikeet (Olive),Morning,Water quantity for boiling,4L,Daily twice
Garden,Lorikeet,Swainson's Lorikeet,Morning,Oats,0.2,Daily twice
Garden,Lorikeet,Scaly Breasted Lorikeet,Morning,Beetroot (Kg) - 1kg,,Daily twice
Garden,Lorikeet,Red Collared Lorikeet,Morning,Carrot (Kg) - 1kg,,Daily once
Garden,Lorikeet,Green Napped Lorikeet,Morning,Papaya (Kg) - 1.5kg,,Weekly once
