Group Name,Aviary Name,Cage,Species Name,Male Parent Ring no,Female Parent Ring no,Egg no,Date of incubation,Egg type,Date of fertile,Remark,Pip Weight,Pip Date,Hatch Weight,Hatch Date,Shell weight,Hatch Type,Shell Thick,Dis type,Dis Date,Egg weight
Lorikeet,Lory,E40,Swainson Lorikeet,CKRC309,CKRC411,6654,25-04-2022,Infertile,,,,,,,,,,,,7
Lory,Lory,D40,redlory ,ABW3899,ABW5146,6655,25-04-2022,Infertile,,,,,,,,,,,,8.62
Lory,Lory,D40,redlory ,ABW3899,ABW5146,6656,25-04-2022,Infertile,,,,,,,,,,,,9.47
Lorikeet,Lory,F45,Olive Swainson Lorikeet,7L6678,T0660192,6657,25-04-2022,Infertile,,,,,,,,,,,,7.09
Lorikeet,Lory,F37,Olive Swainson Lorikeet,CKRD1421,7000,6658,25-04-2022,Infertile,,,,,,,,,,,,6.34
Lorikeet,Lory,F31,Red Collared Lorikeet,CKRE1853,CKR1941,6659,25-04-2022,Fertile,,,,,,,,,,,,6.96
Lorikeet,Lory,F30,Swainson Lorikeet,CKRC248,ACEIND148,6660,25-04-2022,Fertile,,,,,,,,,,,,8.38
Lorikeet,Lory,F25,Olive Swainson Lorikeet,7L6689,CKRD579,6661,25-04-2022,Fertile,,,,,,,,,,,,7.07
Lorikeet,Lory,E22,Swainson Lorikeet,CKRB141,CKRB092,6662,25-04-2022,Fertile,,,,,,,,,,,,7.1
Conure,Sun Conure,B06,Sun Conure,GB3059,CPC143,6663,28-04-2022,Fertile,,,,,,,,,,,,6.78
Conure,Sun Conure,A52,Sun Conure,GB2773,GB2602,6664,28-04-2022,Fertile,,,,,,,,,,,,6.04
Conure,Sun Conure,A52,Sun Conure,GB2773,GB2602,6665,28-04-2022,Fertile,,,,,,,,,,,,7.64
Lorikeet,Lory,E04,Swainson Lorikeet,CKRC365,CKRC241,6666,28-04-2022,Fertile,,,,,,,,,,,,7.97
Lorikeet,Lory,E34,Swainson Lorikeet,CKR221,CKR361,6667,28-04-2022,Infertile,,,,,,,,,,,,6.72
Lorikeet,Lory,F39,Olive Swainson Lorikeet + Swainson Lorikeet,75KZ6213,CKRC297,6668,28-04-2022,Infertile,,,,,,,,,,,,7.73
Lorikeet,Lory,F37,Olive Swainson Lorikeet,CKRD1421,7000,6669,28-04-2022,Infertile,,,,,,,,,,,,6.46
Lorikeet,Lory,F31,Red Collared Lorikeet,CKRE1853,CKR1941,6670,28-04-2022,Fertile,,,,,,,,,,,,7.19
Conure,Sun Conure,A02,Sun Conure,CKRB157,GB3071,6671,02-05-2022,,,,,,,,,,,,,8.94
Conure,Sun Conure,A02,Sun Conure,CKRB157,GB3071,6672,02-05-2022,,,,,,,,,,,,,8.92
Conure,Sun Conure,B06,Sun Conure,GB3059,CPC143,6673,02-05-2022,,,,,,,,,,,,,6.35
Parrot,Sun Conure,B08,Cape Parrot,CRA061,CKR52,6674,02-05-2022,,,,,,,,,,,Early,08-05-2022,13.31
Parrot,Sun Conure,B08,Cape Parrot,CRA061,CKR52,6675,02-05-2022,,,,,,,,,,,,,13.28
Lory,Lory,G29,redlory ,,,6676,02-05-2022,,,,,,,,,,,,,6.76
Lory,Lory,G29,redlory ,,,6677,02-05-2022,,,,,,,,,,,,,7.17
Lorikeet,Lory,F39,Olive Swainson Lorikeet + Swainson Lorikeet,75KZ6213,CKRC297,6678,02-05-2022,,,,,,,,,,,,,7.34
Lorikeet,Lory,D42,Red Collared Lorikeet,CKRC281,CKRC288,6679,02-05-2022,,,,,,,,,,,,,7.08
Lorikeet,Lory,D41,Swainson Lorikeet,CKRD1481,CKRD1562,6680,02-05-2022,,,,,,,,,,,,,7.59
Lorikeet,Lory,D41,Swainson Lorikeet,CKRD1481,CKRD1562,6681,02-05-2022,,,,,,,,,,,,,7.56
Lorikeet,Lory,D36,Green Napped Lorikeet,,,6682,02-05-2022,,,,,,,,,,,,,6.26
Lorikeet,Lory,E10,Swainson Lorikeet,CKRC369,CKRC263,6683,02-05-2022,,,,,,,,,,,,,7.45
