Group Name,Aviary Name,Cage,Species Name,Male Parent Ring no,Female Parent Ring no,Egg no,Date of incubation,Egg type,Date of fertile,Remark,Pip Weight,Pip Date,Hatch Weight,Hatch Date,Shell weight,Hatch Type,Shell Thick,Dis type,Dis Date,Egg weight
Macaw,Thendral,T06,Blue gold macaw,022,CKR 0083,2596,11-04-2022,Fertile,25-04-2022,,,,,,,,,,,23.95
Macaw,Solai,S09,Blue gold macaw,CKR 0056,JFS207,2597,18-04-2022,Fertile,25-04-2022,,,,,,,,,,,34.77
Parrot,Aruvi,A12,Gray parrot,CKR 0011,VPW 293,2598,21-04-2022,unknown,,,,,,,,,,,,19.36
Amazon,Aruvi,A23,Blue fronted amazon,10WA15,LDFC 853/016,2599,21-04-2022,unknown,,,,,,,,,,,,13.24
Cockatoo,Vasantham,V05,Medium sulphur cockatoo,CKR 03,CKR 0002,2600,21-04-2022,Fertile,25-04-2022,,,,,,,,,,,22.16
Macaw,Solai,S09,Blue gold macaw,CKR 0056,JFS207,2601,21-04-2022,Fertile,25-04-2022,,,,,,,,,,,31.7
Parrot,Aruvi,A12,Gray parrot,CKR 0011,VPW 293,2602,25-04-2022,unknown,,,,,,,,,,,,19
,,,,,,,,,,,,,,,,,,,,
