Group Name,Aviary Name,Cage,Species Name,Male Parent Ring no,Female Parent Ring no,Egg no,Date of incubation,Egg type,Date of fertile,Remark,Pip Weight,Pip Date,Hatch Weight,Hatch Date,Shell weight,Hatch Type,Shell Thick,Dis type,Dis Date,Egg weight,,,,,,,
Lorikeet,Lory,E04,02-04-2022,Swainson Lorikeet,CKRC365,CKRC241,6545,Fertile,09-04-2022,,7.57,25-04-2022,5.7,27-04-2022,0.96,Normal,,,8.32,,,,,,,,
Lorikeet,Lory,E04,02-04-2022,Swainson Lorikeet,CKRC365,CKRC241,6546,Fertile,09-04-2022,,7.48,21-04-2022,6,23-04-2022,0.56,Normal,,,8.16,,,,,,,,
Lorikeet,Lory,D36,02-04-2022,Green Napped Lorikeet,7NG2122,BH7318,6547,Fertile,09-04-2022,,,,5.1,26-04-2022,0.48,Assist,,,7.18,,,,,,,,
Conure,Sun Conure,B12,04-04-2022,Sun & Janday Conure,GB2701,GB3332,6548,Fertile,11-04-2022,,7.65,25-04-2022,6,28-04-2022,0.96,Normal,,,8.61,,,,,,,,
Conure,Sun Conure,A32,04-04-2022,Sun Conure,CKRC339,CKRD317,6549,Fertile,11-04-2022,,6.78,24-04-2022,5.34,26-04-2022,0.86,Assist,,,8.06,,,,,,,,
Conure,Sun Conure,A41,04-04-2022,Sun Conure,GB2719,GB2955,6550,Fertile,11-04-2022,,5.5,26-04-2022,4.16,29-04-2022,0.62,Normal,,,6.18,,,,,,,,
Lorikeet,Lory,F37,04-04-2022,Olive Swainson Lorikeet,CKRD1421,7000,6551,Infertile,,,,,,,,,,,7.49,,,,,,,,
Lorikeet,Lory,D48,04-04-2022,Red Collared Lorikeet,CKRC303,CKRC291,6552,Fertile,11-04-2022,,5.87,25-04-2022,3.89,27-04-2022,0.47,Assist,,,6.08,,,,,,,,
Lorikeet,Lory,D46,04-04-2022,Red Collared Lorikeet,MVF845,BB858/11-126,6553,Infertile,,,,,,,,,,,6.08,,,,,,,,
Lorikeet,Lory,E37,04-04-2022,Green Napped Lorikeet,YUV304,YUV398,6554,Fertile,11-04-2022,,5.23,26-04-2022,3.69,29-04-2022,0.59,Normal,,,5.95,,,,,,,,
Lorikeet,Lory,D36,04-04-2022,Green Napped Lorikeet,7NG2122,BH7318,6555,Fertile,11-04-2022,,5.79,26-04-2022,4.74,28-04-2022,0.46,Normal,,,6.72,,,,,,,,
Lory,Lory,E30,04-04-2022,Red Lory ,ABW5145,ABW5158,6556,Fertile,11-04-2022,,5.97,27-04-2022,4.92,28-04-2022,0.75,Normal,,,8.15,,,,,,,,
Lorikeet,Lory,E28,04-04-2022,Swainson Lorikeet,CKR364,CKRB107,6557,Fertile,11-04-2022,,7.96,26-04-2022,6.2,29-04-2022,0.63,Normal,,,8.88,,,,,,,,
Lorikeet,Lory,D24,04-04-2022,Olive Swainson Lorikeet,CKRB215,TSNZ80,6558,Fertile,11-04-2022,,7.14,25-04-2022,5.38,27-04-2022,0.69,,,,7.94,,,,,,,,
Lory,Lory,E23,04-04-2022,Red Lory ,ABW5142,ABW5160,6559,Fertile,11-04-2022,,7.45,28-04-2022,5.9,29-04-2022,0.68,Assist,,,9.08,,,,,,,,
Lorikeet,Lory,E10,04-04-2022,Swainson Lorikeet,CKRC369,CKRC263,6560,Fertile,11-04-2022,,7.22,24-04-2022,5.73,26-04-2022,0.91,Normal,,,8.05,,,,,,,,
Lorikeet,Lory,E05,04-04-2022,Red Collared Lorikeet,CKRC225,CKRB149,6561,DIS,11-04-2022,,,,,,,,Late,25-04-2022,7.42,,,,,,,,
Conure,Lory,H04,04-04-2022,Sun Conure,CKRE1302,CKRE1626,6562,Broken,,,,,,,,,,,,,,,,,,,
Conure,Sun Conure,B03,11-04-2022,Sun Conure,GB3167,GB2871,6563,Fertile,18-04-2022,,,,,,,,,,7.9,,,,,,,,
Conure,Sun Conure,B03,11-04-2022,Sun Conure,GB3167,GB2871,6564,DIS,18-04-2022,,,,,,,,Early,19-04-2022,8.03,,,,,,,,
Conure,Sun Conure,B12,11-04-2022,Sun & Janday Conure,GB2701,GB3332,6565,DIS,15-04-2022,,,,,,,,Early,18-04-2022,8.82,,,,,,,,
