Group Name,Aviary Name,Cage,Species Name,Ring no,Gender,Proven,Bird status
Conure,Sun Conure,A46,Sun Conure,CKRB191,Female,Proven,Hold
Conure,Sun Conure,A46,Sun Conure,GB3211,Male,Proven,Hold
Conure,Sun Conure,A47,Sun Conure,CKRD372,Male,Proven,Hold
Conure,Sun Conure,A48,Sun Conure,CKRC325,Male,Proven,Hold
Conure,Sun Conure,A48,Sun Conure,CKRC331,Female,Proven,Hold
Conure,Sun Conure,A49,Sun Conure,CKRD1221,Female,Proven,Hold
Conure,Sun Conure,A49,Sun Conure,CKRD1213,Male,Proven,Hold
Conure,Sun Conure,A50,Sun Conure,CKRD161,Female,Proven,Hold
Conure,Sun Conure,A50,Sun Conure,CKRD894,Male,Proven,Hold
Conure,Sun Conure,A51,Sun Conure,CKRD214,Female,Proven,Hold
Conure,Sun Conure,A51,Sun Conure,CKRD303,Male,Proven,Hold
Conure,Sun Conure,A52,Sun Conure,GB2602,Female,Proven,Hold
Conure,Sun Conure,A52,Sun Conure,GB2773,Male,Proven,Hold
Conure,Sun Conure,A53,Janday Conure,CKRC141,Female,Proven,Hold
Conure,Sun Conure,A53,Janday Conure,JF405,Male,Proven,Hold
Conure,Sun Conure,A54,Sun Conure,GB2790,Female,Proven,Hold
Conure,Sun Conure,A54,Sun Conure,SATHISH16,Male,Proven,Hold
Conure,Sun Conure,A55,Sun Conure,GB3186,Male,Proven,Hold
Conure,Sun Conure,A55,Sun Conure,SATHISH18,Female,Proven,Hold
Conure,Sun Conure,A56,Sun Conure,GB2898,Male,Proven,Hold
Conure,Sun Conure,A56,Sun Conure,GB2933,Female,Proven,Hold
Conure,Sun Conure,B01,Sun Conure,GB2725,Female,Proven,Hold
Conure,Sun Conure,B01,Sun Conure,GB2765,Male,Proven,Hold
Conure,Sun Conure,B02,Sun Conure,CKRC221,Male,Proven,Hold
Conure,Sun Conure,B02,Sun Conure,CKRD316,Female,Proven,Hold
Conure,Sun Conure,B03,Sun Conure,GB2871,Female,Proven,Hold
Conure,Sun Conure,B03,Sun Conure,GB3167,Male,Proven,Hold
Conure,Sun Conure,B04,Sun Conure,CKRD216,Male,Proven,Hold
Conure,Sun Conure,B04,Sun Conure,CKRD1380,Female,Proven,Hold
Parrot,Sun Conure,B05,Red Belly,CKRB211,,Proven,Hold
Parrot,Sun Conure,B05,Red Belly,266,,Proven,Hold
Conure,Sun Conure,B06,Sun Conure,GB3059,,Proven,Hold
Conure,Sun Conure,B06,Sun Conure,CPC143,,Proven,Hold
Conure,Sun Conure,B07,Sun Conure,CKRB131,,Proven,Hold
Conure,Sun Conure,B07,Sun Conure,GB3096,,Proven,Hold
Parrot,Sun Conure,B08,Cape Parrot,CKR52,,Proven,Hold
Parrot,Sun Conure,B08,Cape Parrot,CKRA061,,Proven,Hold
Conure,Sun Conure,B09,Sun Conure,GB3213,,Proven,Hold
Conure,Sun Conure,B10,Sun Conure,GB3222,,Proven,Hold
Conure,Sun Conure,B10,Sun Conure,GB2899,,Proven,Hold
Conure,Sun Conure,B11,Sun Conure,GB2754,,Proven,Hold
Conure,Sun Conure,B11,Sun Conure,GB2759,,Proven,Hold
Conure,Sun Conure,B12,Sun Conure,GB2701,,Proven,Hold
Conure,Sun Conure,B12,Janday Conure,GB3332,,Proven,Hold
Conure,Sun Conure,B13,Sun Conure,GB3097,,Proven,Hold
Conure,Sun Conure,B13,Sun Conure,GB2810,,Proven,Hold
Conure,Sun Conure,B14,Sun Conure,GB2698,,Proven,Hold
Conure,Sun Conure,B14,Sun Conure,GB2780,,Proven,Hold
Conure,Sun Conure,B15,Janday Conure,GB3333,,Proven,Hold
Conure,Sun Conure,B15,Janday Conure,CKRC258,,Proven,Hold
Conure,Sun Conure,B16,Sun Conure,ACEIND153,,Proven,Hold
Conure,Sun Conure,B16,Sun Conure,CKRD300,,Proven,Hold
Conure,Sun Conure,B17,Sun Conure,GB2718,,Proven,Hold
Conure,Sun Conure,B17,Sun Conure,GB2891,,Proven,Hold
Conure,Sun Conure,B18,Sun Conure,GB2767,,Proven,Hold
Conure,Sun Conure,B18,Sun Conure,NAGU14,,Proven,Hold
Conure,Sun Conure,B19,Sun Conure,GB3168,,Proven,Hold
Conure,Sun Conure,B19,Sun Conure,GB2819,,Proven,Hold
Conure,Sun Conure,B20,Sun Conure,GB2815,,single,Hold
Conure,Sun Conure,B21,Sun Conure,GB3116,,Proven,Hold
Conure,Sun Conure,B21,Sun Conure,GB3127,,Proven,Hold
Conure,Sun Conure,B22,Sun Conure,GB2714,,Proven,Hold
Conure,Sun Conure,B22,Sun Conure,GB2747,,Proven,Hold
Conure,Sun Conure,B23,Sun Conure,GB2735,,Proven,Hold
Conure,Sun Conure,B24,Sun Conure,GB2636,,Proven,Hold
Conure,Sun Conure,B24,Janday Conure,GB3334,,Proven,Hold
Conure,Sun Conure,B25,Sun Conure,GB3099,,Proven,Hold
Conure,Sun Conure,B25,Sun Conure,GB2853,,Proven,Hold
Conure,Sun Conure,B26,Sun Conure,GB2892,,Proven,Hold
Conure,Sun Conure,B26,Sun Conure,GB2932,,Proven,Hold
Conure,Sun Conure,B27,Sun Conure,CKRB184,,Proven,Hold
Conure,Sun Conure,B27,Sun Conure,GB2730,,Proven,Hold
Conure,Sun Conure,B28,Sun Conure,GB2724,,Proven,Hold
Conure,Sun Conure,B28,Sun Conure,GB2942,,Proven,Hold
Conure,Sun Conure,B29,Sun Conure,GB2700,,Proven,Hold
Conure,Sun Conure,B29,Sun Conure,GB2807,,Proven,Hold
Conure,Sun Conure,B30,Sun Conure,GB2702,,Proven,Hold
Conure,Sun Conure,B30,Sun Conure,GB2823,,Proven,Hold
Conure,Sun Conure,B31,Sun Conure,CKR279,,Proven,Hold
Conure,Sun Conure,B31,Sun Conure,CKRA442,,Proven,Hold
Conure,Sun Conure,B32,Sun Conure,GB2874,,Proven,Hold
Conure,Sun Conure,B32,Sun Conure,GB3126,,Proven,Hold
Conure,Sun Conure,B33,Janday Conure,CKR53,,Proven,Hold
Conure,Sun Conure,B33,Janday Conure,CKRB136,,Proven,Hold
Conure,Sun Conure,B35,Sun Conure,GB2827,,Proven,Hold
Conure,Sun Conure,B36,Sun Conure,GB2937,,Proven,Hold
Conure,Sun Conure,B36,Sun Conure,GB2939,,Proven,Hold
Conure,Sun Conure,B37,Sun Conure,CKRC276,,Proven,Hold
Conure,Sun Conure,B37,Sun Conure,GB2894,,Proven,Hold
Conure,Sun Conure,B38,Sun Conure,GB3047,,Proven,Hold
Conure,Sun Conure,B38,Janday Conure,GB3323,,Proven,Hold
Conure,Sun Conure,B39,Sun Conure,CKR153,,Proven,Hold
Conure,Sun Conure,B39,Sun Conure,GB2956,,Proven,Hold
